Generated by pymatgen.io.lammps.data.LammpsData

24948  atoms

    1  atom types

0.000000 54.504395  xlo xhi
0.000000 63.033596  ylo yhi
0.000000 104.937693  zlo zhi
1.432581 0.000000 0.000000  xy xz yz

Masses

1  55.85

Atoms

12     1  1.343708  6.380486  9.949044
6238   1  2.942384  4.041924  9.939285
12486  1  3.821181  6.380486  9.949044
12376  1  2.251284  5.249043 92.862376
2091   1  1.349755  9.859044 11.990265
4170   1  2.940866  7.521874 11.976474
14565  1  3.827227  9.859044 11.990265
2190   1  1.237717  9.830781 16.038837
14664  1  3.715189  9.830781 16.038837
20901  1  2.081967  8.673169 14.006703
6348   1  2.970446 11.008679 14.021154
18832  1  0.492973 11.008680 14.021154
2289   1  1.163951  9.826621 20.093598
14763  1  3.641424  9.826621 20.093598
18931  1  0.403890 10.992664 18.071710
21000  1  1.985419  8.661558 18.060069
6447   1  2.881362 10.992663 18.071710
2388   1  1.124253  9.830547 24.151956
14862  1  3.601725  9.830547 24.151956
19030  1  0.349418 10.992803 22.126495
21099  1  1.926467  8.665222 22.119112
6546   1  2.826890 10.992803 22.126494
2487   1  1.118109  9.832292 28.211022
4566   1  2.685636  7.508077 28.208681
14961  1  3.595581  9.832291 28.211022
19129  1  0.326705 10.996025 26.183244
21198  1  1.902626  8.669421 26.179780
6645   1  2.804177 10.996025 26.183243
19228  1  0.336031 10.996648 30.239011
21297  1  1.915449  8.667994 30.240204
6744   1  2.813503 10.996648 30.239011
2586   1  1.147324  9.830602 32.267802
15060  1  3.624797  9.830602 32.267802
19327  1  0.379668 10.998462 34.290030
21396  1  1.968473  8.664879 34.297368
6843   1  2.857140 10.998462 34.290030
2685   1  1.216172  9.835488 36.317866
15159  1  3.693645  9.835487 36.317866
19426  1  0.463128 11.014892 38.333634
21495  1  2.069960  8.678514 38.345368
6942   1  2.940601 11.014891 38.333634
2784   1  1.332323  9.865995 40.359621
4863   1  2.950119  7.533123 40.371731
15258  1  3.809796  9.865995 40.359621
19525  1  0.584894 11.053300 42.373719
